dp_id,port_no,rx_bytes,rx_pkts,tx_bytes,tx_pkts,duration
2,1,71584130,47401,43090368,28683,587
2,2,44965906,29810,23655474,15813,587
2,3,47280984,31432,97106122,64348,587
1,1,98386786,65195,47281054,31433,597
1,2,47277608,31403,98390162,65224,597
3,1,74815316,49539,62832,226,597
3,2,51802,126,125937776,83461,597
3,3,98390162,65224,47277608,31403,597
2,1,72864836,48249,44263792,29461,597
2,2,46139260,30587,23655586,15815,597
2,3,47281054,31433,98386786,65195,597
1,1,99671986,66045,47281054,31433,607
1,2,47277608,31403,99675432,66075,607
2,1,74150036,49099,45610984,30352,607
2,2,47486452,31478,23655586,15815,607
2,3,47281054,31433,99671986,66045,607
3,1,76164020,50431,62902,227,607
3,2,51802,126,128571750,85204,607
3,3,99675432,66075,47277608,31403,607
1,1,100952692,66893,47857168,31815,617
1,2,47853722,31785,100956138,66923,617
2,1,75430742,49947,46959730,31245,617
2,2,48835156,32370,24231658,16196,617
2,3,47857168,31815,100952692,66893,617
3,1,77508230,51321,64456,229,617
3,2,53398,129,130620594,86561,617
3,3,100956138,66923,47853722,31785,617
1,1,102242470,67747,49205914,32708,627
1,2,49202468,32678,102245916,67777,627
2,1,76720520,50801,48308476,32138,627
2,2,50183944,33264,25580446,17090,627
2,3,49205914,32708,102242470,67747,627
3,1,78857018,52215,64540,231,627
3,2,53440,130,131910372,87415,627
3,3,102245916,67777,49202468,32678,627
1,1,104023606,68925,50554618,33600,637
1,2,50551172,33570,104027052,68955,637
2,1,78013280,51656,49161244,32702,637
2,2,51528112,34153,26930662,17983,637
2,3,50556130,33601,104026630,68927,637
3,1,80205722,53107,64540,231,637
3,2,53440,130,133691508,88593,637
3,3,104027052,68955,50551172,33570,637
1,1,106659064,70669,51903364,34493,647
1,2,51899918,34463,106662510,70699,647
3,1,81554426,53999,64540,231,647
3,2,53482,131,136326966,90337,647
3,3,106662510,70699,51899918,34463,647
2,1,79298522,52507,49161286,32703,647
2,2,52876900,35047,28279450,18877,647
2,3,51903364,34493,106659064,70669,647
1,1,109287004,72409,53252152,35387,657
1,2,53248706,35357,109290450,72439,657
2,1,80577716,53354,49161328,32704,657
2,2,54225646,35940,29628196,19770,657
2,3,53252152,35387,109287004,72409,657
3,1,82903172,54892,64582,232,657
3,2,53524,132,138954864,92076,657
3,3,109290450,72439,53248706,35357,657
1,1,111920992,74153,54596404,36278,667
1,2,54592958,36248,111924438,74183,667
3,1,84247424,55783,66178,235,667
3,2,53524,132,141587256,93817,667
3,3,111924438,74183,54592958,36248,667
2,1,81861446,54204,50405746,33528,667
2,2,55575904,36834,29728030,19837,667
2,3,54596404,36278,111920992,74153,667
1,1,114553426,75895,55945150,37171,677
1,2,55941704,37141,114556872,75925,677
2,1,83145134,55053,51754450,34420,677
2,2,56924650,37727,29728072,19838,677
2,3,55945150,37171,114553426,75895,677
3,1,85596128,56675,66178,235,677
3,2,53566,133,144219690,95559,677
3,3,114556872,75925,55941704,37141,677
2,1,84427352,55902,53103196,35313,687
2,2,57918034,38384,29729584,19839,687
2,3,57295408,38065,116829028,77401,687
1,1,116829028,77401,57295408,38065,687
1,2,57291962,38035,116832474,77431,687
3,1,86944832,57567,66178,235,687
3,2,55120,135,146495292,97065,687
3,3,116832474,77431,57291962,38035,687
1,1,118109734,78249,58644154,38958,697
1,2,58640708,38928,118113180,78279,698
2,1,85709528,56750,54451900,36205,697
2,2,57918076,38385,29729626,19840,697
2,3,58644154,38958,118111246,78250,697
3,1,88293536,58459,66178,235,697
3,2,55162,136,147777510,97914,697
3,3,118114692,78280,58640708,38928,697
1,1,119396488,79101,59424388,39475,708
1,2,59420942,39445,119399934,79131,708
2,1,86994770,57601,55232134,36722,707
2,2,57918076,38385,29729626,19840,707
2,3,59424388,39475,119396488,79101,707
3,1,89637746,59349,67732,237,707
3,2,55162,136,149625174,99136,707
3,3,119399934,79131,59420942,39445,707
1,1,120677194,79949,59424430,39476,718
1,2,59420984,39446,120680640,79979,718
2,1,88275476,58449,55232176,36723,717
2,2,57918076,38385,29729626,19840,717
2,3,59424430,39476,120677194,79949,717
3,1,90986534,60243,67816,239,717
3,2,55204,137,152254584,100876,717
3,3,120680640,79979,59420984,39446,717
1,1,121962436,80800,59424472,39477,728
1,2,59421026,39447,121965882,80830,728
3,1,92335238,61135,67816,239,727
3,2,55246,138,154888530,102619,727
3,3,121965882,80830,59421026,39447,727
2,1,89560718,59300,55232218,36724,727
2,2,57918076,38385,29729626,19840,727
2,3,59424472,39477,121962436,80800,727
1,1,123246124,81649,59424472,39477,738
1,2,59421026,39447,123249570,81679,738
3,1,93682430,62026,67816,239,737
3,2,55246,138,157519410,104359,737
3,3,123249570,81679,59421026,39447,737
2,1,90844406,60149,55443898,36864,737
2,2,58129756,38525,29729626,19840,737
2,3,59424472,39477,123246124,81649,737
1,1,124525276,82495,59424472,39477,748
1,2,59421026,39447,124528722,82525,748
2,1,92123600,60996,56792644,37757,747
2,2,59478502,39418,29729668,19841,747
2,3,59424472,39477,124525276,82495,747
3,1,95032646,62919,67816,239,747
3,2,55246,138,160148778,106098,747
3,3,124528722,82525,59421026,39447,747
1,1,125807494,83344,59980930,39846,758
1,2,59977484,39816,125810940,83374,758
2,1,93405818,61845,58139878,38649,757
2,2,60825694,40309,30287596,20210,757
2,3,59982442,39847,125807494,83344,757
3,1,96375344,63808,69370,241,757
3,2,56842,141,162217278,107468,757
3,3,125810940,83374,59978996,39817,757
1,1,127091224,84194,61331188,40740,768
1,2,61327742,40710,127094670,84224,768
2,1,94691018,62695,59488582,39541,767
2,2,62174440,41202,31636342,21103,767
2,3,61331188,40740,127092736,84195,767
3,1,97725644,64703,69454,243,767
3,2,56884,142,163501008,108318,767
3,3,127094670,84224,61327742,40710,767
1,1,128379448,85046,62679892,41632,778
1,2,62676446,41602,128382894,85076,778
2,1,95977730,63546,60837286,40433,777
2,2,63523144,42094,32985046,21995,777
2,3,62679892,41632,128379448,85046,777
3,1,99074348,65595,69454,243,778
3,2,56884,142,164789232,109170,778
3,3,128382894,85076,62676446,41602,778
1,1,129731218,85941,64027126,42524,788
1,2,64023680,42494,129734664,85971,788
2,1,97261502,64397,62111986,41278,787
2,2,64867354,42984,34335304,22889,787
2,3,64028638,42525,129731218,85941,787
3,1,100423052,66487,69454,243,788
3,2,56926,143,166141002,110065,788
3,3,129734664,85971,64025192,42495,788
1,1,132366676,87685,65375872,43417,798
1,2,65372426,43387,132370122,87715,798
2,1,98548256,65249,62112028,41279,797
2,2,66216142,43878,35682580,23782,797
2,3,65377384,43418,132368188,87686,797
3,1,101770244,67378,69454,243,798
3,2,56968,144,168776460,111809,798
3,3,132370122,87715,65372426,43387,798
1,1,135002176,89430,66721636,44309,808
1,2,66718190,44279,135005622,89460,808
2,1,99833498,66100,62663950,41645,807
2,2,67566400,44772,36476422,24308,807
2,3,66721636,44309,135002176,89430,807
3,1,103115966,68269,71008,245,808
3,2,57010,145,171410406,113552,808
3,3,135005622,89460,66718190,44279,808
1,1,137634652,91173,68070424,45203,818
1,2,68066978,45173,137638098,91203,818
2,1,101117228,66950,64012696,42538,817
2,2,68915146,45665,36476464,24309,817
2,3,68070424,45203,137634652,91173,817
3,1,104464754,69163,71092,247,818
3,2,57010,145,174042798,115293,818
3,3,137638098,91203,68066978,45173,818
1,1,140267086,92915,69417658,46095,828
1,2,69414212,46065,140270532,92945,828
3,1,105811946,70054,71092,247,828
3,2,57052,146,176675232,117035,828
3,3,140270532,92945,69414212,46065,828
2,1,102402470,67801,65359930,43430,827
2,2,70263850,46557,36476464,24309,827
2,3,69417658,46095,140268598,92916,827
1,1,142898008,94656,70766404,46988,838
1,2,70762958,46958,142901454,94686,838
2,1,103683134,68648,66708634,44322,837
2,2,71612596,47450,36476506,24310,837
2,3,70766404,46988,142898008,94656,837
